,User ID Integer,User ID String,Name Of User,Display Name,Tweet ID Integer,Tweet ID String,tweet,Date Created,Reply User ID Integer,Reply User ID String,Reply User Screen Name,Like Count,Retweet Count,Place,Prediction
0,1010876484280463360,1010876484280463360,WATERFALL,ftnnramirahh,1397590161102311426,1397590161102311426,kamaliasari missdvip shxxbi like dark concept daswhy🥵,2021-05-26 16:27:15,954887431,954887431,kamaliasari_,0,0,Null,0
1,1292668233091145728,1292668233091145728,Alice,Orchid06749117,1397590161010020355,1397590161010020355,winnstarss goodnight win winmetawin winmetawin sweetdreamswin,2021-05-26 16:27:15,1148453243464273922,1148453243464273922,winnstarss,0,0,Null,0
2,1142078193358299137,1142078193358299137,~{Autumn}~,MoonieM03458062,1397590161031057411,1397590161031057411,bubblyyniyah nogliz aww congrat atleast second,2021-05-26 16:27:15,1280549268823199745,1280549268823199745,bubblyyniyah,0,0,Null,0
3,2327063135,2327063135,Katie Bell,katiebe62123140,1397590161089830922,1397590161089830922,caanndii yeah may fail rule multipl time i’v skip rule 😝😇🤠🤙🏽,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
4,378846272,378846272,sad papi,TheOther_LBJ,1397590161093955589,1397590161093955589,worldwidewob luck httpstcowhoaoje,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
5,969518593728794624,969518593728794624,Brandon Scales,brandonmscales,1397590161043726336,1397590161043726336,abc in san jose offici say there multipl injuri multipl fatal shoot vta facil caution th…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
6,1279427484715384834,1279427484715384834,T€J@§HR! 🦋✨(SSRF)✨🦋,blacksheep_119,1397590161140043776,1397590161140043776,kundukoushani one discov fierc strong full fire even could hold back…,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
7,716181879284584450,716181879284584450,BB NOEL,XBack05,1397590161156829185,1397590161156829185,exostatist weareoneexo dont fight feel back synnara realtim cha,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
8,1357021225524973569,1357021225524973569,Win Sandar Myint,WinSandarMyint2,1397590160922062848,1397590160922062848,villag fled villag food medicin humanitarian assist kani saga region maycoup auspicerefuge whatshappeninginmyanmar httpstcotcvudrhw,2021-05-26 16:27:14,Null,Null,Null,0,0,Null,0
9,2950371604,2950371604,ThirstEnergy Stadium,winzigpedia,1397590160930394113,1397590160930394113,cleveland friend pleas hit parent old soccer gear better yet suppo local soccer shop donat new equip,2021-05-26 16:27:14,Null,Null,Null,0,0,Null,0
10,1295538938447355910,1295538938447355910,°𝓙𝓲𝓷𝓷𝓲𝓮💐,_seokjin__00,1397590161035304960,1397590161035304960,taeteland 🥺 httpstconnmlhblb,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
11,951590072901611521,951590072901611521,Jubril Idris Ramadan,_bnjibreel,1397590161060413440,1397590161060413440,iamskam pleas pass without retweet httpstcopwhryzlsvv,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
12,394778831,394778831,holy gougouttes,bara_thym,1397590161115041794,1397590161115041794,offparoletx mf last nite httpstcozvxsliazk,2021-05-26 16:27:15,Null,Null,Null,0,0,Null,0
